Order Id,Product Id,Product Name,Region,Country Code,Marketing Channel,Purchase Platform,Account Creation Method,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,User Id,Currency,Local Price
ORD1000025,PROD106,1TB Storage, Asia Pacific, South Korea,partner,shopify ,Email,10/10/2020,10/9/2020,10/15/2020,10/17/2020,,USER17975,USD,122.06
ORD1000026,PROD102,Xbox Series X,North America , US, Partner ,shopify ,Email,12/10/2023,12/2/2023,2023-12-16T08:39:18.474Z,12/22/2023,,USER24041,USD,1118.17
ORD1000027,PROD104,Logitech Headset, North America , US,in-store, Walmart ,Email,2022-01-11T23:10:14.536Z,12/21/2021,1/16/2022,,,USER10651,USD,98.06
ORD1000028,PROD105,Dell Gaming Mouse,North America, Mexico,mobile app, walmart,Email,9/1/2022,2022-08-06T08:20:00.489Z,9/8/2022,,,USER22940,USD,70.18
ORD1000029,PROD102,XBOX SERIES X,Latin America ,Argentina, mobile app,Walmart,Email,10/26/2023,2023-10-10T04:44:55.114Z,10/29/2023,11/4/2023,,USER10251,USD,
ORD1000030,PROD106, external storage 1tb,Asia Pacific ,Japan,Online,amazon ,Email,2023-12-05T22:14:43.260Z,11/27/2023,12/12/2023,12/15/2023,,USER17099,USD,208.08
ORD1000031,PROD101, Switch,Asia Pacific,SG ,Partner, walmart,Email,7/3/2021,6/30/2021,2021-07-10T11:41:03.828Z,7/15/2021,,USER30683,USD,432.25
ORD1000032,PROD103, Dell Laptop ,Middle East, Saudi Arabia ,Online ,eBay,Email,9/30/2021,9/23/2021,10/1/2021,10/5/2021,,USER36385,USD,2675.2
ORD1000033,PROD100,Playstation 5,Latin America, Brazil ,Mobile App, eBay,,3/7/2023,2/19/2023,3/4/2023,3/13/2023,,USER09165,USD,508.06
ORD1000034,PROD100,PlayStation5,Asia Pacific, SG ,Online , walmart ,Email,2/3/2024,2/3/2024,2/8/2024,2/12/2024,,USER02146,USD,584.19
ORD1000035,PROD106,1TB Storage, Middle East , SA,in-store,walmart,Social,2020-07-11T07:49:37.239Z,7/9/2020,7/15/2020,7/17/2020,,USER01413,USD,107.57
ORD1000036,PROD102,XboxSeriesX ,Asia Pacific,SG ,partner,eBay,,2024-12-02T11:12:04.069Z,11/23/2024,,12/9/2024,,USER03377,USD,976.38
ORD1000037,PROD101,Nintendo Switch,Europe , France, partner ,Direct,Email,7/18/2022,6/21/2022,7/19/2022,7/23/2022,,USER02006,USD,315.76
ORD1000038,PROD101, NintendoSwitch ,Asia Pacific ,Australia ,Partner ,eBay,Social,2023-08-31T04:52:50.555Z,,9/3/2023,9/5/2023,,USER39401,USD,442.84
ORD1000039,PROD102, XboxSeriesX,North America , MX ,partner,eBay,Email,8/9/2020,7/30/2020,8/14/2020,8/16/2020,9/7/2020,USER33749,USD,912.1
ORD1000040,PROD103,Dell Gaming Laptop ,Middle East ,Israel ,Online,Shopify ,Social,2023-04-21T18:36:14.906Z,4/7/2023,4/24/2023,4/28/2023,,USER40271,USD,1412.63
ORD1000041,PROD100,PlayStation5, Middle East , UAE ,mobile app,ebay,Email,11/26/2024,11/3/2024,11/28/2024,2024-12-03T23:31:31.209Z,,USER43910,USD,1140.97
ORD1000042,PROD107, 4K Gaming Monitor,North America,USA , Online ,Shopify,Social,2023-12-02T20:57:11.932Z,2023-11-22T20:57:11.932Z,12/6/2023,12/12/2023,,USER01349,USD,806.43
ORD1000043,PROD100, PlayStation 5,Europe,DE, Partner ,shopify ,Email,9/27/2020,9/17/2020,10/3/2020,10/5/2020,,,USD,833.05
ORD1000044,PROD105, Dell Mouse, Europe , DE, In-Store , direct ,Email,2023-04-11T06:50:08.941Z,3/29/2023,2023-04-14T06:50:08.941Z,4/19/2023,,USER01045,USD,48.02
ORD1000045,PROD103,Dell gaming laptop,North America, United States , Partner, eBay ,Social,3/21/2020,3/16/2020,3/24/2020,,,USER25864,USD,1721.97
ORD1000046,PROD106,External Storage 1TB , North America ,Canada,In-Store, direct,Email,6/8/2019,5/11/2019,2019-06-15T18:51:13.030Z,6/19/2019,,USER44011,USD,78.12
ORD1000047,PROD105,Dell Gaming Mouse,Latin America, AR , in-store, shopify,Social,3/3/2019,2/28/2019,3/10/2019,3/12/2019,,USER44514,USD,52.51
ORD1000048,PROD104,logitech gaming headset,Europe, DE ,partner , Walmart ,,10/18/2019,,,10/29/2019,,USER31678,USD,74.46
ORD1000049,PROD104, Gaming Headset ,Middle East , Saudi Arabia,in-store , Direct ,Email,2021-02-08T07:50:43.698Z,2021-01-12T07:50:43.698Z,2/15/2021,2/17/2021,,USER45712,USD,119.57
ORD1000050,PROD104,Gaming Headset , Europe , Spain, Mobile App,walmart,Social,2019-10-11T19:29:27.096Z,9/30/2019,10/18/2019,10/24/2019,,USER22673,USD,81.36
ORD1000051,PROD104,Gaming Headset ,Latin America , Argentina , In-Store, direct ,Social,8/2/2021,7/25/2021,8/6/2021,8/12/2021,,USER43527,USD,162.55
ORD1000052,PROD100,Playstation 5,Latin America ,Chile,in-store, Amazon ,Email,4/1/2024,3/4/2024,4/4/2024,4/7/2024,4/22/2024,,USD,610.77
ORD1000053,,Dell Gaming Mouse, Asia Pacific, Singapore, In-Store ,walmart ,Social,3/22/2020,2020-03-19T23:21:56.269Z,2020-03-19T23:21:56.269Z,4/2/2020,,USER14791,USD,68.72
ORD1000054,PROD101, NintendoSwitch ,North America, USA , online, ebay,,8/26/2019,2019-08-10T18:40:42.349Z,8/28/2019,8/30/2019,,USER04938,USD,410.22
ORD1000055,PROD103,DELL Gaming Laptop, Europe ,UK,Partner,shopify,Email,2024-09-30T09:08:33.145Z,9/18/2024,2024-10-03T09:08:33.145Z,10/8/2024,,USER43953,USD,2000.66
ORD1000056,PROD100, PS5 ,North America, United States, Mobile App,walmart ,Email,12/30/2020,2020-12-29T01:48:40.880Z,2021-01-03T01:48:40.880Z,1/6/2021,,USER20682,USD,1193.17
ORD1000057,PROD105, Dell Mouse ,Asia Pacific, AU ,Partner , shopify ,Email,8/3/2020,2020-07-16T19:14:41.503Z,8/8/2020,8/14/2020,,USER45316,USD,80.4
ORD1000058,PROD100,Play Station 5, Europe ,FR ,partner,ebay ,Social,8/4/2020,7/25/2020,8/6/2020,8/12/2020,,USER45412,USD,950.53
ORD1000059,PROD107, 27in 4K Gaming Monitor , North America,USA,Partner ,Shopify,Email,7/30/2023,7/6/2023,8/4/2023,2023-08-08T13:48:08.772Z,,USER28236,USD,405.6
ORD1000060,PROD107,27in 4K gaming monitor ,Middle East ,Saudi Arabia, Online, shopify ,Email,1/5/2023,12/31/2022,1/7/2023,1/10/2023,,USER21306,USD,453.56
ORD1000061,PROD103,Dell Laptop ,Latin America, Chile , partner , Walmart,,11/2/2021,10/11/2021,2021-11-03T00:35:09.212Z,2021-11-08T00:35:09.212Z,,USER04083,USD,4132.96
ORD1000062,PROD102, XBOX SERIES X, Asia Pacific, South Korea ,online, shopify,Social,11/28/2020,11/12/2020,11/29/2020,12/3/2020,,USER32525,USD,1438.62
ORD1000063,PROD107, 27in 4K Gaming Monitor ,Asia Pacific, AU,Online ,amazon,,12/22/2024,12/8/2024,2024-12-23T08:34:26.981Z,12/27/2024,,USER09762,USD,855.35
ORD1000064,PROD103, Dell gaming laptop, Latin America,Argentina ,partner,direct,Email,2020-12-19T00:31:01.500Z,11/29/2020,12/25/2020,12/30/2020,,USER01092,USD,3211.91
,PROD107, 27in 4K Gaming Monitor , North America , US , Partner,Walmart,Email,2/12/2020,1/18/2020,2/16/2020,2/20/2020,,USER09905,USD,569.34
ORD1000066,PROD104, Logitech Gaming Headset , Europe ,IT, Partner, amazon,Social,2021-08-30T07:46:40.276Z,8/19/2021,2021-09-01T07:46:40.276Z,9/6/2021,2021-10-05T20:56:48.220Z,USER16667,USD,174.37
ORD1000067,PROD106,external storage 1tb ,Latin America, CL,Partner,ebay ,Email,2/2/2020,,2/6/2020,2/10/2020,,USER44629,USD,139.9
ORD1000068,PROD106, External Storage 1TB ,Asia Pacific, KR,Partner,direct ,Social,9/14/2021,2021-09-02T09:59:29.246Z,9/19/2021,9/22/2021,,USER11053,USD,189.15
ORD1000069,PROD107, 4K Gaming Monitor , North America,United States ,Online, amazon,Email,1/10/2021,2020-12-21T10:24:01.140Z,1/12/2021,,,USER47659,USD,602.51
ORD1000070,PROD107,27in 4K Gaming Monitor ,Middle East,Israel ,online ,shopify,Email,2/26/2021,2/17/2021,3/1/2021,,,USER31887,USD,680.02
ORD1000071,PROD104,logitech gaming headset ,Asia Pacific,KR , Mobile App ,shopify,Email,5/30/2023,5/17/2023,5/31/2023,6/5/2023,,USER42724,USD,91.05
ORD1000072,PROD100,PlayStation 5 , Europe ,UK,online,eBay,Social,8/11/2021,2021-08-01T13:43:46.254Z,8/17/2021,2021-08-19T13:43:46.254Z,,USER36960,USD,958.6
ORD1000073,PROD102,XboxSeriesX ,Europe, Spain , In-Store ,direct,Email,2025-02-17T02:32:43.238Z,2025-02-04T02:32:43.238Z,,2025-02-21T02:32:43.238Z,,USER04054,USD,593.49
ORD1000074,PROD103, Dell Laptop, Europe ,United Kingdom , Online ,shopify,,10/15/2023,9/16/2023,10/17/2023,10/19/2023,,USER47636,USD,1510.59
ORD1000075,PROD104,logitech gaming headset ,, SA, online, shopify,Social,1/5/2021,2020-12-22T00:25:08.795Z,1/9/2021,1/13/2021,,USER10652,USD,125.34
ORD1000076,PROD101,Nintendo Switch,Europe, Spain ,online , walmart,Email,3/12/2024,3/7/2024,3/18/2024,3/24/2024,,USER17114,USD,355.65
ORD1000077,PROD100,Play Station 5 , Middle East ,IL,mobile app ,Amazon,Email,9/15/2023,8/17/2023,9/20/2023,9/23/2023,,USER05243,USD,630.37
ORD1000078,PROD101,NintendoSwitch ,Middle East ,SA,online ,Shopify ,Email,10/12/2021,9/30/2021,10/16/2021,2021-10-21T16:10:19.579Z,,USER08240,USD,500.16
ORD1000079,PROD102,Microsoft Xbox Series X , North America ,USA,Online, Walmart,Social,7/4/2024,6/5/2024,7/6/2024,7/9/2024,,USER44350,USD,450.92
ORD1000080,PROD106,1TB Storage , Europe, Italy, In-Store,direct,Social,12/26/2023,11/29/2023,1/2/2024,2024-01-07T13:36:56.959Z,,USER08744,USD,153.09
ORD1000081,PROD103, Dell Laptop , North America , Canada ,in-store, shopify ,Email,2020-07-31T21:02:14.990Z,7/23/2020,8/3/2020,8/5/2020,,USER05723,USD,2625.39
ORD1000082,PROD102,Xbox SeriesX,Latin America, CL,Partner, amazon ,Email,1/7/2019,12/29/2018,1/13/2019,2019-01-17T14:27:51.763Z,,USER03415,USD,477.41
ORD1000083,PROD100,Play Station 5 ,Europe,United Kingdom, In-Store, direct ,Email,10/26/2022,10/26/2022,10/27/2022,10/29/2022,11/22/2022,USER19449,USD,581.89
ORD1000084,PROD104, Gaming Headset,Europe,UK, in-store , walmart ,,9/1/2019,8/17/2019,9/5/2019,9/8/2019,,USER19170,USD,102.18
ORD1000085,PROD104,Logitech Headset ,Latin America, Chile,in-store ,amazon,Social,10/14/2021,10/10/2021,10/19/2021,2021-10-22T14:38:23.645Z,,USER14635,USD,127.97
ORD1000086,PROD104, Logitech Headset, North America,CA , mobile app,Walmart ,Social,2022-05-28T23:29:33.387Z,5/10/2022,5/29/2022,6/1/2022,,USER05481,USD,108.64
ORD1000087,PROD106,External Storage 1TB, Europe ,France, Online ,Amazon,Email,2/8/2024,1/17/2024,2/9/2024,2/14/2024,,USER48769,USD,99.02
ORD1000088,PROD104, Logitech Headset ,Europe,United Kingdom , Online , eBay,Email,6/18/2019,6/3/2019,6/23/2019,6/26/2019,,USER23763,USD,73.31
ORD1000089,PROD101, Nintendo switch, North America ,MX ,Partner ,eBay,Email,6/2/2023,2023-05-12T04:17:06.290Z,6/6/2023,6/8/2023,,USER33244,USD,288.55
ORD1000090,PROD107,4K Gaming Monitor ,Asia Pacific,SG , Mobile App , direct,Email,5/7/2019,2019-05-03T02:13:44.447Z,5/14/2019,5/16/2019,,USER33896,USD,417.57
ORD1000091,PROD103, DELL Gaming Laptop , North America , Canada, in-store ,shopify,Email,11/8/2023,10/10/2023,11/15/2023,11/19/2023,,USER03148,usd,2640.4
ORD1000092,PROD100, Playstation 5 ,Middle East,Israel ,in-store ,ebay,Social,2024-11-13T06:44:18.097Z,11/7/2024,11/15/2024,11/19/2024,,USER48993,USD,1102.64
ORD1000093,PROD104, logitech gaming headset , Europe,FR,in-store, Direct ,Social,2019-12-21T12:36:34.375Z,2019-12-15T12:36:34.375Z,12/24/2019,12/26/2019,,USER41416,USD,125.81
ORD1000094,PROD103, Dell gaming laptop , Asia Pacific ,Japan,In-Store , Direct ,Email,5/5/2023,5/2/2023,5/10/2023,,,USER07122,USD,1498.76
ORD1000095,PROD105, Gaming Mouse ,North America, United States,Online,Shopify,Email,4/15/2022,3/26/2022,4/18/2022,,,USER41463,USD,52.33
ORD1000096,PROD105,Dell Gaming Mouse , Latin America,Chile ,Online ,Shopify,Social,7/14/2023,7/2/2023,7/15/2023,7/21/2023,,USER08598,USD,45.4
ORD1000097,PROD102,XboxSeriesX,Middle East ,Saudi Arabia,in-store, walmart ,Email,1/4/2023,12/14/2022,1/11/2023,1/17/2023,,USER35992,USD,500.9
ORD1000098,PROD102,Xbox SeriesX,Latin America ,BR, in-store, shopify,Social,2/6/2024,2024-01-28T04:41:08.131Z,2/11/2024,2/17/2024,,USER42338,USD,573.54
ORD1000099,PROD103,Dell gaming laptop, Middle East ,UAE ,online ,eBay ,Social,2/11/2019,2/5/2019,2019-02-13T14:51:58.523Z,2/19/2019,,USER33502,USD,1446.34
ORD1000100,PROD101,NintendoSwitch, Europe ,IT , in-store,eBay,Email,3/8/2024,2/18/2024,3/12/2024,3/18/2024,,USER14314,USD,334.18
ORD1000101,PROD102,Xbox SeriesX, Latin America,BR, mobile app, Direct ,Email,8/22/2024,8/10/2024,2024-08-23T03:42:52.085Z,8/25/2024,,,USD,817.59
ORD1000102,PROD103, Dell Gaming Laptop ,Asia Pacific, AU,Online,direct ,Social,2023-01-22T12:28:34.667Z,2023-01-09T12:28:34.667Z,1/25/2023,1/27/2023,,USER04426,USD,1450.93
ORD1000103,PROD100, Playstation 5, Asia Pacific ,KR,mobile app , Direct ,Email,2025-02-22T20:31:47.018Z,2/8/2025,2/27/2025,,,USER01786,USD,635.14
ORD1000104,PROD101,Nintendo Switch ,North America,CA ,In-Store,direct,Email,1/10/2021,12/24/2020,1/16/2021,1/17/2021,,USER09233,USD,472.58
ORD1000105,PROD100, PlayStation5,Latin America,AR,In-Store,Direct,Email,1/19/2025,1/9/2025,,2025-01-24T09:42:12.677Z,,USER15594,USD,579.02
ORD1000106,PROD107,27in 4K Gaming Monitor ,Europe, FR ,partner ,Direct ,Email,2/9/2019,1/12/2019,2/12/2019,2/16/2019,,USER34762,USD,358.5
ORD1000107,PROD105, Dell Mouse,Asia Pacific, AU,partner,ebay,Email,6/6/2021,2021-06-04T08:11:51.517Z,6/12/2021,2021-06-14T08:11:51.517Z,2021-06-20T05:40:49.885Z,USER27437,USD,53.27
ORD1000108,PROD106,1TB Storage, Asia Pacific, KR , in-store,amazon,Email,8/9/2020,7/29/2020,2020-08-13T22:23:56.164Z,8/19/2020,,USER00511,USD,150.45
ORD1000109,PROD100,PlayStation 5, Middle East ,IL,Partner , Amazon,Social,5/7/2019,2019-04-19T08:53:40.725Z,5/12/2019,2019-05-14T08:53:40.725Z,,USER39792,USD,497.75
ORD1000110,PROD102, XBOX SERIES X, Latin America, AR, partner , direct ,Email,8/21/2022,,8/25/2022,8/31/2022,,USER00761,USD,785.98
ORD1000111,PROD102, XBOX SERIES X ,, AU ,in-store ,Shopify,,12/15/2024,12/14/2024,12/18/2024,2024-12-21T18:05:22.811Z,,USER29372,USD,1017.85
ORD1000112,PROD103, Dell Gaming Laptop,Middle East, Saudi Arabia ,Mobile App, amazon ,Email,12/7/2024,11/11/2024,12/11/2024,12/15/2024,,USER17797,USD,2565.41
ORD1000113,PROD107,27in 4K gaming monitor , Middle East,Israel ,In-Store ,Direct,Email,2/6/2021,2/1/2021,2/8/2021,2021-02-10T21:14:38.530Z,,USER18816,USD,-584.49
ORD1000114,PROD106, External Storage, Europe,IT, Mobile App ,Amazon,Social,5/24/2022,5/12/2022,5/29/2022,,,USER43296,USD,133.26
ORD1000115,PROD106, 1TB Storage,Europe,Spain , mobile app, shopify ,,2/10/2024,1/14/2024,2/11/2024,2024-02-13T07:08:02.636Z,,USER13901,USD,115.04
ORD1000116,PROD104,Logitech Gaming Headset, North America , Canada,in-store ,eBay,Social,11/10/2023,10/27/2023,11/16/2023,11/18/2023,12/15/2023,USER18233,USD,151
ORD1000117,PROD107," 27"" 4K monitor ", Latin America ,AR , Online ,walmart,Social,10/25/2023,10/20/2023,,11/1/2023,,USER24322,USD,466.01
ORD1000118,PROD106, External Storage 1TB ,Middle East,Saudi Arabia,Online,shopify,Email,12/24/2021,12/17/2021,12/25/2021,12/27/2021,,USER11217,USD,279.91
ORD1000119,PROD103,Dell Laptop,Middle East, Israel,Mobile App, walmart ,,10/12/2020,9/16/2020,2020-10-15T10:21:21.007Z,10/17/2020,,USER47889,USD,1704.47
ORD1000120,PROD100, Playstation 5,Asia Pacific ,Singapore,mobile app,direct,Email,3/24/2022,3/13/2022,3/29/2022,,,USER28081,USD,682.06
ORD1000121,PROD100,PS5 , Middle East,Saudi Arabia,online ,direct,Email,2022-09-29T00:02:46.269Z,9/20/2022,9/30/2022,10/2/2022,,USER14324,USD,756.58
ORD1000122,PROD102, Xbox SeriesX , Asia Pacific,Singapore, mobile app, walmart ,Email,5/16/2023,2023-05-03T05:59:39.939Z,5/23/2023,2023-05-29T05:59:39.939Z,,USER45596,USD,591.12
ORD1000123,PROD101,NINTENDO SWITCH, Europe,France, Mobile App ,eBay ,Social,11/12/2022,10/19/2022,11/16/2022,11/18/2022,,USER15824,USD,722.51
ORD1000124,PROD105,Gaming Mouse, Middle East ,SA,mobile app ,direct ,Social,1/8/2022,,,1/18/2022,,USER47795,USD,0.01
ORD1000125,PROD103, Dell gaming laptop, North America, Canada ,in-store,eBay ,Email,5/3/2020,4/21/2020,5/4/2020,2020-05-07T09:03:34.540Z,,USER17632,USD,1859.59
ORD1000126,PROD104,Logitech Headset,,Argentina ,In-Store,Shopify,,2020-04-05T05:06:41.622Z,2020-03-08T05:06:41.622Z,4/9/2020,2020-04-15T05:06:41.622Z,,USER04266,USD,97.33
ORD1000127,PROD103,Dell gaming laptop,North America, Canada,In-Store , Walmart ,Social,1/1/2019,12/29/2018,1/5/2019,1/10/2019,,USER09754,USD,1214.32
ORD1000128,PROD101,Nintendo switch, Europe , Germany,Online, Shopify ,Email,3/27/2023,2/27/2023,3/29/2023,4/1/2023,,USER23265,USD,308.14
ORD1000129,PROD102,XBOX SERIES X,Middle East,SA ,mobile app ,ebay,Social,6/16/2023,2023-05-24T22:38:02.189Z,6/18/2023,2023-06-21T22:38:02.189Z,,USER11598,USD,466.7
ORD1000130,PROD106, external storage 1tb,Latin America,AR, in-store ,shopify,,8/3/2022,7/23/2022,8/8/2022,8/10/2022,,USER02879,USD,148.39
ORD1000131,PROD103,Dell Laptop,Asia Pacific, Australia ,Partner , walmart ,Email,9/6/2023,9/4/2023,9/10/2023,9/15/2023,,USER08259,USD,1877.29
ORD1000132,PROD104,Gaming Headset ,Asia Pacific ,JP , Online,walmart ,Email,8/23/2020,8/18/2020,2020-08-25T23:47:57.521Z,2020-08-31T23:47:57.521Z,,USER11960,USD,132.42
ORD1000132,PROD104,Gaming Headset ,Asia Pacific ,JP , Online,walmart ,Email,8/23/2020,8/18/2020,2020-08-25T23:47:57.521Z,2020-08-31T23:47:57.521Z,,USER11960,USD,132.42
ORD1000134,PROD104,Logitech Gaming Headset, North America ,MX, Mobile App,Shopify,,6/1/2023,5/7/2023,6/5/2023,6/9/2023,,USER20817,USD,75.05
ORD1000135,,27in 4K Gaming Monitor,Asia Pacific,Japan ,Partner,Shopify,Email,8/28/2024,,8/31/2024,9/5/2024,,USER42141,USD,658.17
ORD1000136,PROD106, 1TB Storage,North America ,Mexico ,Partner ,Amazon,Email,11/13/2023,10/16/2023,,11/22/2023,,USER30422,USD,204.14
ORD1000137,PROD105, DELL Gaming Mouse,Latin America ,Brazil, Online ,Direct ,Social,,11/19/2021,12/13/2021,12/19/2021,,USER13299,USD,140.29
ORD1000138,PROD106,1TB Storage,Latin America , BR ,Mobile App,eBay,,4/7/2024,3/16/2024,4/12/2024,4/17/2024,,USER26711,USD,109.87
ORD1000139,PROD103,Dell gaming laptop , Europe ,Spain,Partner, eBay ,Email,4/7/2019,4/2/2019,4/10/2019,4/16/2019,,USER27030,USD,1234.2
ORD1000140,PROD100, Playstation 5,Middle East,Israel , Partner , eBay,,2023-01-09T17:28:32.193Z,12/26/2022,2023-01-14T17:28:32.193Z,2023-01-20T17:28:32.193Z,,USER36754,USD,498.67
ORD1000141,PROD104, logitech gaming headset,Middle East,IL ,Partner,direct,Social,2024-06-15T09:08:58.691Z,5/24/2024,6/19/2024,2024-06-23T09:08:58.691Z,,USER19860,USD,80.37
ORD1000142,PROD107,27in 4K Gaming Monitor,Latin America,AR,Mobile App ,walmart,Social,6/10/2020,2020-05-16T00:59:11.521Z,6/12/2020,6/14/2020,,USER41179,USD,444.19
ORD1000143,PROD102,Microsoft Xbox Series X,North America,USA,In-Store, direct,Email,1/23/2025,1/14/2025,1/25/2025,1/27/2025,,USER17149,USD,666.12
ORD1000144,PROD102,Microsoft Xbox Series X,Europe,Spain,Online, ebay ,Email,12/30/2019,2019-12-06T05:45:11.611Z,1/4/2020,1/9/2020,,USER47807,USD,892.31
ORD1000145,PROD101,Nintendo Switch , Middle East,Israel,partner,shopify,Social,7/1/2024,6/2/2024,2024-07-08T17:28:11.604Z,7/11/2024,,USER20802,USD,266.85
ORD1000146,PROD104, Logitech Headset, Latin America ,Chile, in-store , amazon ,Email,6/5/2024,6/5/2024,6/7/2024,6/10/2024,,USER49753,USD,80.62
ORD1000147,PROD103,Dell Gaming Laptop,, FR, online,ebay ,Social,10/27/2021,10/5/2021,11/3/2021,2021-11-06T13:17:36.865Z,,USER03328,USD,2146.31
ORD1000148,PROD105,Dell Gaming Mouse, North America ,USA , Mobile App, shopify,Email,12/31/2022,12/15/2022,1/7/2023,2023-01-12T21:50:04.941Z,2/1/2023,USER20000,USD,117.34
ORD1000149,PROD105,DELL Gaming Mouse ,Asia Pacific , KR ,mobile app, eBay ,Social,12/18/2022,12/13/2022,12/25/2022,2022-12-31T05:26:23.465Z,,USER27600,USD,104.33
ORD1000150,PROD100,PS5 , Latin America ,Argentina , partner,direct,Email,3/13/2020,2/17/2020,3/20/2020,2020-03-22T21:35:45.166Z,,USER16854,USD,677
ORD1000151,, External Storage 1TB,Europe , UK ,In-Store , Amazon,Email,11/22/2022,2022-10-28T00:54:20.011Z,11/28/2022,12/2/2022,,USER38644,USD,189.23
