Order Id,Product Id,Product Name,Region,Country Code,Marketing Channel,Purchase Platform,Account Creation Method,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,User Id,Currency,Local Price,Price_Flag,Purchase_Year,Purchase_Month,Purchase_Quarter,Year_Month,Delivery_Days,Is_Refunded
ORD1000010,PROD103,Dell Gaming Laptop,Asia Pacific,Singapore,Partner,Amazon,Unknown,11/30/2019,11/18/2019,12/7/2019,12/10/2019,,USER43649,USD,2248.56,,2019.0,11.0,4.0,2019-11,3.0,0
ORD1000011,PROD100,PlayStation 5,Europe,United Kingdom,Online,Walmart,Unknown,8/4/2024,8/3/2024,8/6/2024,8/9/2024,,USER43922,USD,680.53,,2024.0,8.0,3.0,2024-08,3.0,0
ORD1000012,PROD105,Dell Gaming Mouse,Europe,Germany,Online,Direct,Social,8/1/2021,,8/4/2021,8/7/2021,,USER01220,USD,113.95,,2021.0,8.0,3.0,2021-08,3.0,0
ORD1000013,PROD106,External Storage 1TB,Asia Pacific,Australia,Partner,Shopify,Social,10/30/2021,10/1/2021,11/4/2021,11/10/2021,,USER17734,USD,117.61,NEGATIVE_PRICE_REVIEW,2021.0,10.0,4.0,2021-10,6.0,0
ORD1000014,PROD102,Microsoft Xbox Series X,Middle East,Israel,In-Store,Shopify,Social,3/25/2021,3/1/2021,4/1/2021,4/4/2021,,USER27376,USD,769.56,,2021.0,3.0,1.0,2021-03,3.0,0
ORD1000015,PROD102,Microsoft Xbox Series X,Latin America,Argentina,Online,Direct,Email,7/12/2023,7/6/2023,7/14/2023,7/20/2023,,USER13840,USD,421.29,,2023.0,7.0,3.0,2023-07,6.0,0
ORD1000016,PROD103,Dell Gaming Laptop,Asia Pacific,Japan,Online,Shopify,Email,3/24/2024,3/12/2024,3/26/2024,3/31/2024,,USER49664,USD,1726.88,,2024.0,3.0,1.0,2024-03,5.0,0
ORD1000017,PROD100,PlayStation 5,Asia Pacific,Japan,In-Store,eBay,Social,11/2/2020,,11/3/2020,11/9/2020,,USER18169,USD,1304.69,,2020.0,11.0,4.0,2020-11,6.0,0
ORD1000018,PROD104,Logitech Gaming Headset,Europe,France,Mobile App,Amazon,Email,4/18/2021,3/30/2021,4/24/2021,4/27/2021,,USER28269,USD,130.15,,2021.0,4.0,2.0,2021-04,3.0,0
ORD1000019,PROD100,PlayStation 5,Latin America,Chile,Partner,Shopify,Email,6/4/2022,5/10/2022,6/5/2022,6/11/2022,,USER49980,USD,534.1,,2022.0,6.0,2.0,2022-06,6.0,0
ORD1000020,PROD102,Microsoft Xbox Series X,Asia Pacific,Japan,In-Store,Direct,Email,8/31/2024,8/29/2024,9/5/2024,9/7/2024,,USER22782,USD,718.71,,2024.0,8.0,3.0,2024-08,2.0,0
ORD1000021,PROD100,PlayStation 5,Unknown,Israel,Online,eBay,Email,7/18/2020,6/21/2020,7/22/2020,7/26/2020,,USER37063,USD,591.5,,2020.0,7.0,3.0,2020-07,4.0,0
ORD1000022,PROD104,Logitech Gaming Headset,Latin America,Argentina,Mobile App,Amazon,Email,10/2/2019,9/6/2019,10/5/2019,10/8/2019,,USER23973,USD,86.72,,2019.0,10.0,4.0,2019-10,3.0,0
ORD1000023,PROD105,Dell Gaming Mouse,Europe,Germany,Mobile App,Walmart,Social,6/4/2020,5/13/2020,6/6/2020,6/10/2020,,USER02069,USD,58.72,,2020.0,6.0,2.0,2020-06,4.0,0
ORD1000024,PROD101,Nintendo Switch,Middle East,UAE,Mobile App,Walmart,Email,5/3/2021,4/21/2021,5/8/2021,5/13/2021,,USER07012,USD,474.1,,2021.0,5.0,2.0,2021-05,5.0,0
ORD1000025,PROD106,External Storage 1TB,Asia Pacific,South Korea,Partner,Shopify,Email,10/10/2020,10/9/2020,10/15/2020,10/17/2020,,USER17975,USD,122.06,,2020.0,10.0,4.0,2020-10,2.0,0
ORD1000026,PROD102,Microsoft Xbox Series X,North America,United States,Partner,Shopify,Email,12/10/2023,12/2/2023,12/16/2023,12/22/2023,,USER24041,USD,1118.17,,2023.0,12.0,4.0,2023-12,6.0,0
ORD1000027,PROD104,Logitech Gaming Headset,North America,United States,In-Store,Walmart,Email,1/11/2022,12/21/2021,1/16/2022,,,USER10651,USD,98.06,,2022.0,1.0,1.0,2022-01,,0
ORD1000028,PROD105,Dell Gaming Mouse,North America,Mexico,Mobile App,Walmart,Email,9/1/2022,8/6/2022,9/8/2022,,,USER22940,USD,70.18,,2022.0,9.0,3.0,2022-09,,0
ORD1000029,PROD102,Microsoft Xbox Series X,Latin America,Argentina,Mobile App,Walmart,Email,10/26/2023,10/10/2023,10/29/2023,11/4/2023,,USER10251,USD,659.63,,2023.0,10.0,4.0,2023-10,6.0,0
ORD1000030,PROD106,External Storage 1TB,Asia Pacific,Japan,Online,Amazon,Email,12/5/2023,11/27/2023,12/12/2023,12/15/2023,,USER17099,USD,208.08,,2023.0,12.0,4.0,2023-12,3.0,0
ORD1000031,PROD101,Nintendo Switch,Asia Pacific,Singapore,Partner,Walmart,Email,7/3/2021,6/30/2021,7/10/2021,7/15/2021,,USER30683,USD,432.25,,2021.0,7.0,3.0,2021-07,5.0,0
ORD1000032,PROD103,Dell Gaming Laptop,Middle East,Saudi Arabia,Online,eBay,Email,9/30/2021,9/23/2021,10/1/2021,10/5/2021,,USER36385,USD,2675.2,,2021.0,9.0,3.0,2021-09,4.0,0
ORD1000033,PROD100,PlayStation 5,Latin America,Brazil,Mobile App,eBay,Unknown,3/7/2023,2/19/2023,3/4/2023,3/13/2023,,USER09165,USD,508.06,,2023.0,3.0,1.0,2023-03,9.0,0
ORD1000034,PROD100,PlayStation 5,Asia Pacific,Singapore,Online,Walmart,Email,2/3/2024,2/3/2024,2/8/2024,2/12/2024,,USER02146,USD,584.19,,2024.0,2.0,1.0,2024-02,4.0,0
ORD1000035,PROD106,External Storage 1TB,Middle East,Saudi Arabia,In-Store,Walmart,Social,7/11/2020,7/9/2020,7/15/2020,7/17/2020,,USER01413,USD,107.57,,2020.0,7.0,3.0,2020-07,2.0,0
ORD1000036,PROD102,Microsoft Xbox Series X,Asia Pacific,Singapore,Partner,eBay,Unknown,12/2/2024,11/23/2024,,12/9/2024,,USER03377,USD,976.38,,2024.0,12.0,4.0,2024-12,,0
ORD1000037,PROD101,Nintendo Switch,Europe,France,Partner,Direct,Email,7/18/2022,6/21/2022,7/19/2022,7/23/2022,,USER02006,USD,315.76,,2022.0,7.0,3.0,2022-07,4.0,0
ORD1000038,PROD101,Nintendo Switch,Asia Pacific,Australia,Partner,eBay,Social,8/31/2023,,9/3/2023,9/5/2023,,USER39401,USD,442.84,,2023.0,8.0,3.0,2023-08,2.0,0
ORD1000039,PROD102,Microsoft Xbox Series X,North America,Mexico,Partner,eBay,Email,8/9/2020,7/30/2020,8/14/2020,8/16/2020,9/7/2020,USER33749,USD,912.1,,2020.0,8.0,3.0,2020-08,2.0,1
ORD1000040,PROD103,Dell Gaming Laptop,Middle East,Israel,Online,Shopify,Social,4/21/2023,4/7/2023,4/24/2023,4/28/2023,,USER40271,USD,1412.63,,2023.0,4.0,2.0,2023-04,4.0,0
ORD1000041,PROD100,PlayStation 5,Middle East,UAE,Mobile App,eBay,Email,11/26/2024,11/3/2024,11/28/2024,12/3/2024,,USER43910,USD,1140.97,,2024.0,11.0,4.0,2024-11,5.0,0
ORD1000042,PROD107,27in 4K Gaming Monitor,North America,United States,Online,Shopify,Social,12/2/2023,11/22/2023,12/6/2023,12/12/2023,,USER01349,USD,806.43,,2023.0,12.0,4.0,2023-12,6.0,0
ORD1000043,PROD100,PlayStation 5,Europe,Germany,Partner,Shopify,Email,9/27/2020,9/17/2020,10/3/2020,10/5/2020,,848211614,USD,833.05,,2020.0,9.0,3.0,2020-09,2.0,0
ORD1000044,PROD105,Dell Gaming Mouse,Europe,Germany,In-Store,Direct,Email,4/11/2023,3/29/2023,4/14/2023,4/19/2023,,USER01045,USD,48.02,,2023.0,4.0,2.0,2023-04,5.0,0
ORD1000045,PROD103,Dell Gaming Laptop,North America,United States,Partner,eBay,Social,3/21/2020,3/16/2020,3/24/2020,,,USER25864,USD,1721.97,,2020.0,3.0,1.0,2020-03,,0
ORD1000046,PROD106,External Storage 1TB,North America,Canada,In-Store,Direct,Email,6/8/2019,5/11/2019,6/15/2019,6/19/2019,,USER44011,USD,78.12,,2019.0,6.0,2.0,2019-06,4.0,0
ORD1000047,PROD105,Dell Gaming Mouse,Latin America,Argentina,In-Store,Shopify,Social,3/3/2019,2/28/2019,3/10/2019,3/12/2019,,USER44514,USD,52.51,,2019.0,3.0,1.0,2019-03,2.0,0
ORD1000048,PROD104,Logitech Gaming Headset,Europe,Germany,Partner,Walmart,Unknown,10/18/2019,,,10/29/2019,,USER31678,USD,74.46,,2019.0,10.0,4.0,2019-10,,0
ORD1000049,PROD104,Logitech Gaming Headset,Middle East,Saudi Arabia,In-Store,Direct,Email,2/8/2021,1/12/2021,2/15/2021,2/17/2021,,USER45712,USD,119.57,,2021.0,2.0,1.0,2021-02,2.0,0
ORD1000050,PROD104,Logitech Gaming Headset,Europe,Spain,Mobile App,Walmart,Social,10/11/2019,9/30/2019,10/18/2019,10/24/2019,,USER22673,USD,81.36,,2019.0,10.0,4.0,2019-10,6.0,0
ORD1000051,PROD104,Logitech Gaming Headset,Latin America,Argentina,In-Store,Direct,Social,8/2/2021,7/25/2021,8/6/2021,8/12/2021,,USER43527,USD,162.55,,2021.0,8.0,3.0,2021-08,6.0,0
ORD1000052,PROD100,PlayStation 5,Latin America,Chile,In-Store,Amazon,Email,4/1/2024,3/4/2024,4/4/2024,4/7/2024,4/22/2024,494841960,USD,610.77,,2024.0,4.0,2.0,2024-04,3.0,1
ORD1000053,65842954,Dell Gaming Mouse,Asia Pacific,Singapore,In-Store,Walmart,Social,3/22/2020,3/19/2020,3/19/2020,4/2/2020,,USER14791,USD,68.72,,2020.0,3.0,1.0,2020-03,14.0,0
ORD1000054,PROD101,Nintendo Switch,North America,United States,Online,eBay,Unknown,8/26/2019,8/10/2019,8/28/2019,8/30/2019,,USER04938,USD,410.22,,2019.0,8.0,3.0,2019-08,2.0,0
ORD1000055,PROD103,Dell Gaming Laptop,Europe,United Kingdom,Partner,Shopify,Email,9/30/2024,9/18/2024,10/3/2024,10/8/2024,,USER43953,USD,2000.66,,2024.0,9.0,3.0,2024-09,5.0,0
ORD1000056,PROD100,PlayStation 5,North America,United States,Mobile App,Walmart,Email,12/30/2020,12/29/2020,1/3/2021,1/6/2021,,USER20682,USD,1193.17,,2020.0,12.0,4.0,2020-12,3.0,0
ORD1000057,PROD105,Dell Gaming Mouse,Asia Pacific,Australia,Partner,Shopify,Email,8/3/2020,7/16/2020,8/8/2020,8/14/2020,,USER45316,USD,80.4,,2020.0,8.0,3.0,2020-08,6.0,0
ORD1000058,PROD100,PlayStation 5,Europe,France,Partner,eBay,Social,8/4/2020,7/25/2020,8/6/2020,8/12/2020,,USER45412,USD,950.53,,2020.0,8.0,3.0,2020-08,6.0,0
ORD1000059,PROD107,27in 4K Gaming Monitor,North America,United States,Partner,Shopify,Email,7/30/2023,7/6/2023,8/4/2023,8/8/2023,,USER28236,USD,405.6,,2023.0,7.0,3.0,2023-07,4.0,0
ORD1000060,PROD107,27in 4K Gaming Monitor,Middle East,Saudi Arabia,Online,Shopify,Email,1/5/2023,12/31/2022,1/7/2023,1/10/2023,,USER21306,USD,453.56,,2023.0,1.0,1.0,2023-01,3.0,0
ORD1000061,PROD103,Dell Gaming Laptop,Latin America,Chile,Partner,Walmart,Unknown,11/2/2021,10/11/2021,11/3/2021,11/8/2021,,USER04083,USD,4132.96,,2021.0,11.0,4.0,2021-11,5.0,0
ORD1000062,PROD102,Microsoft Xbox Series X,Asia Pacific,South Korea,Online,Shopify,Social,11/28/2020,11/12/2020,11/29/2020,12/3/2020,,USER32525,USD,1438.62,,2020.0,11.0,4.0,2020-11,4.0,0
ORD1000063,PROD107,27in 4K Gaming Monitor,Asia Pacific,Australia,Online,Amazon,Unknown,12/22/2024,12/8/2024,12/23/2024,12/27/2024,,USER09762,USD,855.35,,2024.0,12.0,4.0,2024-12,4.0,0
ORD1000064,PROD103,Dell Gaming Laptop,Latin America,Argentina,Partner,Direct,Email,12/19/2020,11/29/2020,12/25/2020,12/30/2020,,USER01092,USD,3211.91,,2020.0,12.0,4.0,2020-12,5.0,0
9824001252,PROD107,27in 4K Gaming Monitor,North America,United States,Partner,Walmart,Email,2/12/2020,1/18/2020,2/16/2020,2/20/2020,,USER09905,USD,569.34,,2020.0,2.0,1.0,2020-02,4.0,0
ORD1000066,PROD104,Logitech Gaming Headset,Europe,Italy,Partner,Amazon,Social,8/30/2021,8/19/2021,9/1/2021,9/6/2021,10/5/2021,USER16667,USD,174.37,,2021.0,8.0,3.0,2021-08,5.0,1
ORD1000067,PROD106,External Storage 1TB,Latin America,Chile,Partner,eBay,Email,2/2/2020,,2/6/2020,2/10/2020,,USER44629,USD,139.9,,2020.0,2.0,1.0,2020-02,4.0,0
ORD1000068,PROD106,External Storage 1TB,Asia Pacific,South Korea,Partner,Direct,Social,9/14/2021,9/2/2021,9/19/2021,9/22/2021,,USER11053,USD,189.15,,2021.0,9.0,3.0,2021-09,3.0,0
ORD1000069,PROD107,27in 4K Gaming Monitor,North America,United States,Online,Amazon,Email,1/10/2021,12/21/2020,1/12/2021,,,USER47659,USD,602.51,,2021.0,1.0,1.0,2021-01,,0
ORD1000070,PROD107,27in 4K Gaming Monitor,Middle East,Israel,Online,Shopify,Email,2/26/2021,2/17/2021,3/1/2021,,,USER31887,USD,680.02,,2021.0,2.0,1.0,2021-02,,0
ORD1000071,PROD104,Logitech Gaming Headset,Asia Pacific,South Korea,Mobile App,Shopify,Email,5/30/2023,5/17/2023,5/31/2023,6/5/2023,,USER42724,USD,91.05,,2023.0,5.0,2.0,2023-05,5.0,0
ORD1000072,PROD100,PlayStation 5,Europe,United Kingdom,Online,eBay,Social,8/11/2021,8/1/2021,8/17/2021,8/19/2021,,USER36960,USD,958.6,,2021.0,8.0,3.0,2021-08,2.0,0
ORD1000073,PROD102,Microsoft Xbox Series X,Europe,Spain,In-Store,Direct,Email,2/17/2025,2/4/2025,,2/21/2025,,USER04054,USD,593.49,,2025.0,2.0,1.0,2025-02,,0
ORD1000074,PROD103,Dell Gaming Laptop,Europe,United Kingdom,Online,Shopify,Unknown,10/15/2023,9/16/2023,10/17/2023,10/19/2023,,USER47636,USD,1510.59,,2023.0,10.0,4.0,2023-10,2.0,0
ORD1000075,PROD104,Logitech Gaming Headset,Unknown,Saudi Arabia,Online,Shopify,Social,1/5/2021,12/22/2020,1/9/2021,1/13/2021,,USER10652,USD,125.34,,2021.0,1.0,1.0,2021-01,4.0,0
ORD1000076,PROD101,Nintendo Switch,Europe,Spain,Online,Walmart,Email,3/12/2024,3/7/2024,3/18/2024,3/24/2024,,USER17114,USD,355.65,,2024.0,3.0,1.0,2024-03,6.0,0
ORD1000077,PROD100,PlayStation 5,Middle East,Israel,Mobile App,Amazon,Email,9/15/2023,8/17/2023,9/20/2023,9/23/2023,,USER05243,USD,630.37,,2023.0,9.0,3.0,2023-09,3.0,0
ORD1000078,PROD101,Nintendo Switch,Middle East,Saudi Arabia,Online,Shopify,Email,10/12/2021,9/30/2021,10/16/2021,10/21/2021,,USER08240,USD,500.16,,2021.0,10.0,4.0,2021-10,5.0,0
ORD1000079,PROD102,Microsoft Xbox Series X,North America,United States,Online,Walmart,Social,7/4/2024,6/5/2024,7/6/2024,7/9/2024,,USER44350,USD,450.92,,2024.0,7.0,3.0,2024-07,3.0,0
ORD1000080,PROD106,External Storage 1TB,Europe,Italy,In-Store,Direct,Social,12/26/2023,11/29/2023,1/2/2024,1/7/2024,,USER08744,USD,153.09,,2023.0,12.0,4.0,2023-12,5.0,0
ORD1000081,PROD103,Dell Gaming Laptop,North America,Canada,In-Store,Shopify,Email,7/31/2020,7/23/2020,8/3/2020,8/5/2020,,USER05723,USD,2625.39,,2020.0,7.0,3.0,2020-07,2.0,0
ORD1000082,PROD102,Microsoft Xbox Series X,Latin America,Chile,Partner,Amazon,Email,1/7/2019,12/29/2018,1/13/2019,1/17/2019,,USER03415,USD,477.41,,2019.0,1.0,1.0,2019-01,4.0,0
ORD1000083,PROD100,PlayStation 5,Europe,United Kingdom,In-Store,Direct,Email,10/26/2022,10/26/2022,10/27/2022,10/29/2022,11/22/2022,USER19449,USD,581.89,,2022.0,10.0,4.0,2022-10,2.0,1
ORD1000084,PROD104,Logitech Gaming Headset,Europe,United Kingdom,In-Store,Walmart,Unknown,9/1/2019,8/17/2019,9/5/2019,9/8/2019,,USER19170,USD,102.18,,2019.0,9.0,3.0,2019-09,3.0,0
ORD1000085,PROD104,Logitech Gaming Headset,Latin America,Chile,In-Store,Amazon,Social,10/14/2021,10/10/2021,10/19/2021,10/22/2021,,USER14635,USD,127.97,,2021.0,10.0,4.0,2021-10,3.0,0
ORD1000086,PROD104,Logitech Gaming Headset,North America,Canada,Mobile App,Walmart,Social,5/28/2022,5/10/2022,5/29/2022,6/1/2022,,USER05481,USD,108.64,,2022.0,5.0,2.0,2022-05,3.0,0
ORD1000087,PROD106,External Storage 1TB,Europe,France,Online,Amazon,Email,2/8/2024,1/17/2024,2/9/2024,2/14/2024,,USER48769,USD,99.02,,2024.0,2.0,1.0,2024-02,5.0,0
ORD1000088,PROD104,Logitech Gaming Headset,Europe,United Kingdom,Online,eBay,Email,6/18/2019,6/3/2019,6/23/2019,6/26/2019,,USER23763,USD,73.31,,2019.0,6.0,2.0,2019-06,3.0,0
ORD1000089,PROD101,Nintendo Switch,North America,Mexico,Partner,eBay,Email,6/2/2023,5/12/2023,6/6/2023,6/8/2023,,USER33244,USD,288.55,,2023.0,6.0,2.0,2023-06,2.0,0
ORD1000090,PROD107,27in 4K Gaming Monitor,Asia Pacific,Singapore,Mobile App,Direct,Email,5/7/2019,5/3/2019,5/14/2019,5/16/2019,,USER33896,USD,417.57,,2019.0,5.0,2.0,2019-05,2.0,0
ORD1000091,PROD103,Dell Gaming Laptop,North America,Canada,In-Store,Shopify,Email,11/8/2023,10/10/2023,11/15/2023,11/19/2023,,USER03148,USD,2640.4,,2023.0,11.0,4.0,2023-11,4.0,0
ORD1000092,PROD100,PlayStation 5,Middle East,Israel,In-Store,eBay,Social,11/13/2024,11/7/2024,11/15/2024,11/19/2024,,USER48993,USD,1102.64,,2024.0,11.0,4.0,2024-11,4.0,0
ORD1000093,PROD104,Logitech Gaming Headset,Europe,France,In-Store,Direct,Social,12/21/2019,12/15/2019,12/24/2019,12/26/2019,,USER41416,USD,125.81,,2019.0,12.0,4.0,2019-12,2.0,0
ORD1000094,PROD103,Dell Gaming Laptop,Asia Pacific,Japan,In-Store,Direct,Email,5/5/2023,5/2/2023,5/10/2023,,,USER07122,USD,1498.76,,2023.0,5.0,2.0,2023-05,,0
ORD1000095,PROD105,Dell Gaming Mouse,North America,United States,Online,Shopify,Email,4/15/2022,3/26/2022,4/18/2022,,,USER41463,USD,52.33,,2022.0,4.0,2.0,2022-04,,0
ORD1000096,PROD105,Dell Gaming Mouse,Latin America,Chile,Online,Shopify,Social,7/14/2023,7/2/2023,7/15/2023,7/21/2023,,USER08598,USD,45.4,,2023.0,7.0,3.0,2023-07,6.0,0
ORD1000097,PROD102,Microsoft Xbox Series X,Middle East,Saudi Arabia,In-Store,Walmart,Email,1/4/2023,12/14/2022,1/11/2023,1/17/2023,,USER35992,USD,500.9,,2023.0,1.0,1.0,2023-01,6.0,0
ORD1000098,PROD102,Microsoft Xbox Series X,Latin America,Brazil,In-Store,Shopify,Social,2/6/2024,1/28/2024,2/11/2024,2/17/2024,,USER42338,USD,573.54,,2024.0,2.0,1.0,2024-02,6.0,0
ORD1000099,PROD103,Dell Gaming Laptop,Middle East,UAE,Online,eBay,Social,2/11/2019,2/5/2019,2/13/2019,2/19/2019,,USER33502,USD,1446.34,,2019.0,2.0,1.0,2019-02,6.0,0
ORD1000100,PROD101,Nintendo Switch,Europe,Italy,In-Store,eBay,Email,3/8/2024,2/18/2024,3/12/2024,3/18/2024,,USER14314,USD,334.18,,2024.0,3.0,1.0,2024-03,6.0,0
ORD1000101,PROD102,Microsoft Xbox Series X,Latin America,Brazil,Mobile App,Direct,Email,8/22/2024,8/10/2024,8/23/2024,8/25/2024,,454677989,USD,817.59,,2024.0,8.0,3.0,2024-08,2.0,0
ORD1000102,PROD103,Dell Gaming Laptop,Asia Pacific,Australia,Online,Direct,Social,1/22/2023,1/9/2023,1/25/2023,1/27/2023,,USER04426,USD,1450.93,,2023.0,1.0,1.0,2023-01,2.0,0
ORD1000103,PROD100,PlayStation 5,Asia Pacific,South Korea,Mobile App,Direct,Email,2/22/2025,2/8/2025,2/27/2025,,,USER01786,USD,635.14,,2025.0,2.0,1.0,2025-02,,0
ORD1000104,PROD101,Nintendo Switch,North America,Canada,In-Store,Direct,Email,1/10/2021,12/24/2020,1/16/2021,1/17/2021,,USER09233,USD,472.58,,2021.0,1.0,1.0,2021-01,1.0,0
ORD1000105,PROD100,PlayStation 5,Latin America,Argentina,In-Store,Direct,Email,1/19/2025,1/9/2025,,1/24/2025,,USER15594,USD,579.02,,2025.0,1.0,1.0,2025-01,,0
ORD1000106,PROD107,27in 4K Gaming Monitor,Europe,France,Partner,Direct,Email,2/9/2019,1/12/2019,2/12/2019,2/16/2019,,USER34762,USD,358.5,,2019.0,2.0,1.0,2019-02,4.0,0
ORD1000107,PROD105,Dell Gaming Mouse,Asia Pacific,Australia,Partner,eBay,Email,6/6/2021,6/4/2021,6/12/2021,6/14/2021,6/20/2021,USER27437,USD,53.27,,2021.0,6.0,2.0,2021-06,2.0,1
ORD1000108,PROD106,External Storage 1TB,Asia Pacific,South Korea,In-Store,Amazon,Email,8/9/2020,7/29/2020,8/13/2020,8/19/2020,,USER00511,USD,150.45,,2020.0,8.0,3.0,2020-08,6.0,0
ORD1000109,PROD100,PlayStation 5,Middle East,Israel,Partner,Amazon,Social,5/7/2019,4/19/2019,5/12/2019,5/14/2019,,USER39792,USD,497.75,,2019.0,5.0,2.0,2019-05,2.0,0
ORD1000110,PROD102,Microsoft Xbox Series X,Latin America,Argentina,Partner,Direct,Email,8/21/2022,,8/25/2022,8/31/2022,,USER00761,USD,785.98,,2022.0,8.0,3.0,2022-08,6.0,0
ORD1000111,PROD102,Microsoft Xbox Series X,Unknown,Australia,In-Store,Shopify,Unknown,12/15/2024,12/14/2024,12/18/2024,12/21/2024,,USER29372,USD,1017.85,,2024.0,12.0,4.0,2024-12,3.0,0
ORD1000112,PROD103,Dell Gaming Laptop,Middle East,Saudi Arabia,Mobile App,Amazon,Email,12/7/2024,11/11/2024,12/11/2024,12/15/2024,,USER17797,USD,2565.41,,2024.0,12.0,4.0,2024-12,4.0,0
ORD1000113,PROD107,27in 4K Gaming Monitor,Middle East,Israel,In-Store,Direct,Email,2/6/2021,2/1/2021,2/8/2021,2/10/2021,,USER18816,USD,527.71,NEGATIVE_PRICE_REVIEW,2021.0,2.0,1.0,2021-02,2.0,0
ORD1000114,PROD106,External Storage 1TB,Europe,Italy,Mobile App,Amazon,Social,5/24/2022,5/12/2022,5/29/2022,,,USER43296,USD,133.26,,2022.0,5.0,2.0,2022-05,,0
ORD1000115,PROD106,External Storage 1TB,Europe,Spain,Mobile App,Shopify,Unknown,2/10/2024,1/14/2024,2/11/2024,2/13/2024,,USER13901,USD,115.04,,2024.0,2.0,1.0,2024-02,2.0,0
ORD1000116,PROD104,Logitech Gaming Headset,North America,Canada,In-Store,eBay,Social,11/10/2023,10/27/2023,11/16/2023,11/18/2023,12/15/2023,USER18233,USD,151.0,,2023.0,11.0,4.0,2023-11,2.0,1
ORD1000117,PROD107,27in 4K Gaming Monitor,Latin America,Argentina,Online,Walmart,Social,10/25/2023,10/20/2023,,11/1/2023,,USER24322,USD,466.01,,2023.0,10.0,4.0,2023-10,,0
ORD1000118,PROD106,External Storage 1TB,Middle East,Saudi Arabia,Online,Shopify,Email,12/24/2021,12/17/2021,12/25/2021,12/27/2021,,USER11217,USD,279.91,,2021.0,12.0,4.0,2021-12,2.0,0
ORD1000119,PROD103,Dell Gaming Laptop,Middle East,Israel,Mobile App,Walmart,Unknown,10/12/2020,9/16/2020,10/15/2020,10/17/2020,,USER47889,USD,1704.47,,2020.0,10.0,4.0,2020-10,2.0,0
ORD1000120,PROD100,PlayStation 5,Asia Pacific,Singapore,Mobile App,Direct,Email,3/24/2022,3/13/2022,3/29/2022,,,USER28081,USD,682.06,,2022.0,3.0,1.0,2022-03,,0
ORD1000121,PROD100,PlayStation 5,Middle East,Saudi Arabia,Online,Direct,Email,9/29/2022,9/20/2022,9/30/2022,10/2/2022,,USER14324,USD,756.58,,2022.0,9.0,3.0,2022-09,2.0,0
ORD1000122,PROD102,Microsoft Xbox Series X,Asia Pacific,Singapore,Mobile App,Walmart,Email,5/16/2023,5/3/2023,5/23/2023,5/29/2023,,USER45596,USD,591.12,,2023.0,5.0,2.0,2023-05,6.0,0
ORD1000123,PROD101,Nintendo Switch,Europe,France,Mobile App,eBay,Social,11/12/2022,10/19/2022,11/16/2022,11/18/2022,,USER15824,USD,722.51,,2022.0,11.0,4.0,2022-11,2.0,0
