Marketing Channel,Purchase Platform,Product_Name,Region,AccountCreationMethod,Currency,CountryCode,Order_id,ProductID,User_id,Price_numeric,Price_,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,Time_To_ship
Direct,Mobile Web,Home - Rug,<function <lambda> at 0x7eee915b4860>,Phone,CAD,CA,ORD00001431,PROD9843,USER0000004,101.87,CAD 101.87,2019-01-13 00:00:00,2019-01-01 00:00:00,2019-01-15 00:00:00,2019-01-18 00:00:00,,2.0
Organic Search,Desktop,Sports - Yoga Mat,Europe,Email,GBP,GB,ORD00005310,PROD3727,USER0000002,126.95,GBP 126.95,2019-02-16 00:00:00,2019-01-14 00:00:00,2019.02.17,2019-02-21 00:00:00,,1.0
Email Marketing,Mobile Web,Electronics - Mouse,Europe,<function <lambda> at 0x7eee90f8bc40>,EUR,NL,ORD00017954,PROD2295,USER0000002,87.59,EUR 87.59,2019-06-18 00:00:00,2019-06-18 00:00:00,24-06-2019,2019-06-29 00:00:00,2019-07-02 00:00:00,6.0
Organic Search,Mobile Web,Beauty - Body Lotion,Europe,Email,GBP,GB,ORD00091539,PROD2479,USER0000002,30.47,GBP 30.47,2024-09-19 00:00:00,2024-06-05 00:00:00,2024-09-20 00:00:00,2024-09-24 00:00:00,,1.0
Paid Search,Mobile App,Fashion - Dress,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00025255,PROD8128,USER0000004,55.67,USD 55.67,2019-09-05 00:00:00,2019-09-05 00:00:00,2019-09-06 00:00:00,2019-09-09 00:00:00,,1.0
  Email Marketing  ,Mobile Web,Home - Storage Basket,South America,<function <lambda> at 0x7eee90f8bc40>,BRL,BR,ORD00039774,PROD2598,USER0000031,318.0,BRL 318.00,08-03-2020,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-19 00:00:00,,1.0
Organic Serach,Desktop,Food - Tea Set,Africa,Facebook OAuth,ZAR,ZA,ORD00005905,PROD6759,USER0000127,486.17,ZAR 486.17,2019-02-22 00:00:00,2019-02-07 00:00:00,,,,
Direct,Desktop,Fashion - Sneakers,Asia Pacific,Email,AUD,AU,ORD00050286,PROD4405,USER0000002,117.7,AUD 117.70,2020.08.19,2020-07-06 00:00:00,2020-08-21 00:00:00,2020-08-28 00:00:00,,2.0
Social Media - Facebook,Mobile Web,Toys - Action Figure,Asia Pacific,Facebook OAuth,INR,IN,ORD00064239,PROD4753,USER0000003,4884.82,INR 4884.82,2021-05-25 00:00:00,2021-04-18 00:00:00,2021-05-28 00:00:00,2021-06-04 00:00:00,,3.0
Paid Serch,Mobile Web,Fashion - Dress,Europe,Google OAuth,EUR,FR,ORD00056457,PROD5564,USER0000003,78.6,EUR 78.60,2020-12-08 00:00:00,2020-10-07 00:00:00,2020-12-10 00:00:00,2020-12-15 00:00:00,,2.0
Display Ads,Mobile App,Home - Rug,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00059143,PROD2871,USER0000084,72.89,USD 72.89,2021-02-01 00:00:00,2020-10-19 00:00:00,,,,
Social Media - Facebook,Desktop,Electronics - Wireless Earbuds,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00017556,PROD5794,USER0000003,66.9,USD 66.90,2019-06-13 00:00:00,2019-05-21 00:00:00,2019-06-14 00:00:00,2019-06-17 00:00:00,,1.0
Social Media - Facebook,Desktop,Fashion - T-Shirt,  <function <lambda> at 0x7eee915b4860>  ,Email,CAD,CA,ORD00051666,PROD2296,USER0000003,72.43,CAD 72.43,2020-09-11 00:00:00,2020-05-18 00:00:00,2020-09-13 00:00:00,2020-09-16 00:00:00,,2.0
Paid Search,Desktop,Electronics - HDMI Cable,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00067576,PROD6956,USER0000002,80.54,USD 80.54,2021-08-15 00:00:00,2021-08-07 00:00:00,2021-08-16 00:00:00,2021-08-18 00:00:00,,1.0
Paid Search,Mobile App,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00039060,PROD7118,USER0000002,97.28,USD 97.28,2020-02-26 00:00:00,2020-02-15 00:00:00,2020-02-27 00:00:00,2020-03-01 00:00:00,,1.0
Organic Search,Mobile Web,Fashion - Sneakers,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00006176,PROD1890,USER0000008,46.22,USD 46.22,2019.02.24,2019-01-27 00:00:00,2019-02-26 00:00:00,2019-03-01 00:00:00,2019-03-11 00:00:00,2.0
Organic Search,Mobile Web,Food - Protein Bar Box,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00072295,PROD6096,USER0000002,32.14,USD 32.14,2021-12-26 00:00:00,2021-11-24 00:00:00,2021-12-29 00:00:00,2022-01-01 00:00:00,,3.0
Paid Search,Mobile Web,Beauty - Body Lotion,Middle East,Email,AED,AE,ORD00049780,PROD3883,USER0000002,134.47,AED 134.47,2020-08-10,2020-07-02 00:00:00,,,,
Paid Search,Mobile App,Electronics - Bluetooth Speaker,Asia Pacific,Email,JPY,JP,ORD00051287,PROD1652,USER0000002,15108.96,JPY 15108.96,2020-09-04 00:00:00,2020-08-10 00:00:00,,,,
Direct,Desktop,Sports - Gym Bag,<function <lambda> at 0x7eee915b4860>,Email,CAD,CA,ORD00001571,PROD3986,USER0000002,172.47,CAD 172.47,2019-01-14 00:00:00,2019-01-03 00:00:00,,,,
Organic Search,Mobile Web,Fashion - Hoodie,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00071722,PROD7621,USER0000002,46.66,USD 46.66,2021-12-09 00:00:00,2021-09-18 00:00:00,2021-12-10 00:00:00,14-12-2021,,1.0
Organic Search,Desktop,Home - Bed Sheets,<function <lambda> at 0x7eee915b4860>,Apple ID,USD,US,ORD00061703,PROD6619,USER0000003,126.89,USD 126.89,03/27/2021,2021-03-05 00:00:00,2021-03-29 00:00:00,2021-04-02 00:00:00,,2.0
Direct,Mobile Web,Home - Bed Sheets,Europe,Google OAuth,EUR,DE,ORD00013371,PROD2486,USER0000006,100.9,EUR 100.90,2019-05-02 00:00:00,2019-01-01 00:00:00,2019-05-04 00:00:00,2019-05-08 00:00:00,,2.0
Email Marketing,Mobile Web,Sports - Protein Powder,<function <lambda> at 0x7eee915b4860>,Apple ID,USD,,ORD00019937,PROD1287,USER0000025,89.5,90 USD,2019.07.09,2019-06-15 00:00:00,2019-07-11 00:00:00,07/14/2019,,2.0
Organic Search,Mobile Web,Toys - Doll,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00065934,PROD5438,USER0000002,37.98,USD 37.98,2021-07-05 00:00:00,2021-07-04 00:00:00,,,2025-06-15 00:00:00,
Organic Search,Desktop,Fashion - T-Shirt,Asia Pacific,Google OAuth,SGD,SG,ORD00034072,PROD7767,USER0000006,64.46,SGD 64.46,12/20/2019,2019-10-14 00:00:00,,,,
Display Ads,Desktop,Sports - Yoga Mat,<function <lambda> at 0x7eee915b4860>,Email,USD,,ORD00001575,PROD1605,USER0000002,103.45,USD 103.45,2019-01-14 00:00:00,2019-01-01 00:00:00,2019-01-19 00:00:00,2019-01-26 00:00:00,,5.0
Email Marketing,Desktop,Food - Tea Set,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00044531,PROD6069,USER0000002,60.0,USD 60.00,2020-05-17 00:00:00,17-05-2020,,,,
Affiliate,Desktop,Fashion - Belt,  Europe  ,Facebook OAuth,EUR,DE,ORD00009376,PROD5985,USER0000006,50.35,EUR 50.35,2019-03-25 00:00:00,24-03-2019,2019-04-03 00:00:00,2019.04.09,,9.0
Direct,Mobile Web,Fashion - Scarf,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00020630,PROD8227,USER0000002,33.37,USD 33.37,07/16/2019,2019-06-09 00:00:00,2019-07-18 00:00:00,2019-07-20 00:00:00,,2.0
Paid Search,Desktop,Beauty - Eye Shadow Palette,Europe,Google OAuth,GBP,GB,ORD00067806,PROD3793,USER0000002,50.66,GBP 50.66,2021-08-21 00:00:00,2021-06-27 00:00:00,2021-08-23 00:00:00,2021-08-31 00:00:00,,2.0
Organic Search,Desktop,Electronics - Mouse,Europe,Apple ID,EUR,NL,ORD00045329,PROD1971,USER0000002,227.56,EUR 227.56,2020-05-29 00:00:00,2020-04-04 00:00:00,2020-06-06 00:00:00,2020-06-10 00:00:00,,8.0
Organic Search,Desktop,Home - Picture Frame,Asia Pacific,Facebook OAuth,JPY,JP,ORD00016169,PROD7046,USER0000002,20144.38,JPY 20144.38,2019-05-30 00:00:00,2019-05-25 00:00:00,,,,
Social Media - Facebook,Desktop,Electronics - Bluetooth Speaker,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00010948,PROD6400,USER0000004,250.0,USD 250.00,2019-04-09 00:00:00,01-01-2019,2019-04-14 00:00:00,2019-04-17 00:00:00,,5.0
Organic Search,Mobile Web,Beauty - Nail Polish,Asia Pacific,Apple ID,AUD,AU,ORD00071015,PROD2517,USER0000012,50.23,AUD 50.23,2021-11-17 00:00:00,2021-11-15 00:00:00,,,,
organic search,Desktop,  Electronics - Keyboard  ,South America,Email,BRL,BR,ORD00097163,PROD5842,USER0000013,534.52,BRL 534.52,2025-12-31 00:00:00,2025-11-20 00:00:00,2026-01-08 00:00:00,2026-01-16 00:00:00,,8.0
Organic Search,Mobile Web,Sports - Dumbbells,Asia Pacific,Google OAuth,JPY,JP,ORD00064219,PROD4552,USER0000040,13055.76,JPY 13055.76,2021-05-25 00:00:00,2021-03-17 00:00:00,,,,
Social Media - Instagram,Mobile Web,Electronics - Screen Protector,Europe,Google OAuth,EUR,,ORD00085042,PROD8349,USER0000144,171.43,EUR 171.43,2023-06-01 00:00:00,2023-05-08 00:00:00,2023-06-03 00:00:00,06/06/2023,,2.0
Email Marketing,Desktop,Sports - Water Bottle,Europe,Apple ID,EUR,FR,ORD00092571,PROD5215,USER0000004,89.97,EUR 89.97,09-01-2025,2024-12-13 00:00:00,2025-01-12 00:00:00,2025.01.17,,3.0
Organic Search,Mobile App,Electronics - Mouse,Europe,Google OAuth,EUR,NL,ORD00028222,PROD7574,USER0000006,45.07,EUR 45.07,2019-10-10 00:00:00,2019-08-07 00:00:00,,,,
Organic Search,Mobile Web,Home - Picture Frame,Europe,Google OAuth,GBP,GB,ORD00000574,PROD1508,USER0000003,40.82,GBP 40.82,2019-01-05,2019-01-01 00:00:00,2019-01-07 00:00:00,2019-01-15 00:00:00,2019-01-18 00:00:00,2.0
Organic Search,Mobile Web,Electronics - Screen Protector,Africa,Phone,NGN,NG,ORD00087987,PROD6038,USER0000002,,NGN 52215.28,2023-11-28 00:00:00,2023-10-11 00:00:00,,,,
Email Marketing,Mobile Web,Fashion - Backpack,Europe,Google OAuth,EUR,DE,ORD00068572,PROD7808,USER0000007,62.69,EUR 62.69,2021-09-10 00:00:00,2021-07-17 00:00:00,2021-09-11 00:00:00,2021-09-16 00:00:00,,1.0
Paid Search,Desktop,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00055446,PROD1585,USER0000004,244.65,USD 244.65,2020-11-19 00:00:00,2020-11-18 00:00:00,11/23/2020,2020-11-26 00:00:00,,4.0
Social Media - Facebook,Mobile Web,Sports - Water Bottle,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,CAD,CA,ORD00029418,PROD9641,USER0000004,101.92,101.92,2019-10-24 00:00:00,2019-10-11 00:00:00,2019-10-25 00:00:00,2019-10-27 00:00:00,,1.0
Email Marketing,Desktop,Home - Throw Pillow,Europe,Email,EUR,ES,ORD00047261,PROD4182,USER0000002,52.78,EUR 52.78,2020-06-29 00:00:00,2020-05-28 00:00:00,2020-07-01 00:00:00,2020.07.04,,2.0
Social Media - Facebook,Desktop,Beauty - Nail Polish,Middle East,Email,AED,AE,ORD00005549,PROD9558,USER0000278,236.08,AED 236.08,2019-02-18 00:00:00,2019-01-01 00:00:00,2019-02-20 00:00:00,2019-02-28 00:00:00,,2.0
Social Media - Facebook,Desktop,Fashion - Sunglasses,Europe,Email,GBP,GB,ORD00021256,PROD1830,USER0000002,52.67,GBP 52.67,2019-07-23 00:00:00,2019-07-05 00:00:00,2019-07-25 00:00:00,2019-07-29 00:00:00,,2.0
Organic Search,Mobile Web,Fashion - Hat,Europe,Facebook OAuth,EUR,FR,ORD00043183,PROD8807,USER0000002,53.08,EUR 53.08,2020-04-26 00:00:00,2019-11-23 00:00:00,2020-04-29 00:00:00,2020-05-06 00:00:00,,3.0
