Order_id,ProductID_clean,User_id,MarketingChannel,Purchase Platform,Product_Name,Region,AccountCreationMethod,CountryCode,Currency_extracted,Price_USD,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,Time_To_ship
ORD00096337,PROD8216,USER0000003,Organic Search,Mobile Web,Electronics - Mouse,North America,Apple ID,CA,CAD,221.0598875,12/31/2025,11/15/2025,1/3/2026,1/5/2026,,3
ORD00063688,PROD6536,USER0000037,Direct,Desktop,Sports - Resistance Bands,North America,Email,US,USD,134.06,5/12/2021,2/21/2021,5/15/2021,5/19/2021,,3
ORD00034787,PROD2163,USER0000097,Paid Search,Desktop,Electronics - Wireless Earbuds,Europe,Facebook OAuth,GB,GBP,131.8797548,12/29/2019,10/9/2019,12/30/2019,1/3/2020,,1
ORD00059193,PROD1517,USER0000003,Organic Search,Mobile Web,Food - Hot Sauce,North America,Email,US,USD,33.11,2/2/2021,1/7/2021,,,,
ORD00074893,PROD6276,USER0000002,Organic Search,Mobile Web,Home - Rug,North America,Apple ID,US,USD,76.89,3/22/2022,10/2/2021,3/26/2022,3/29/2022,,4
ORD00059662,PROD1096,USER0000002,Organic Search,Desktop,Fashion - Backpack,North America,Google OAuth,US,USD,50.98,2/12/2021,9/22/2020,2/13/2021,2/16/2021,,1
ORD00068512,PROD1919,USER0000024,Paid Search,Mobile Web,Electronics - Bluetooth Speaker,North America,Email,US,USD,232.49,9/9/2021,9/2/2021,,,,
ORD00069276,PROD8181,USER0000003,Organic Search,Mobile Web,Electronics - Portable Charger,Europe,Email,FR,EUR,62.20379144,9/30/2021,8/29/2021,,,,
ORD00050993,PROD1791,USER0000007,Facebook,Mobile Web,Fashion - Jacket,Europe,Apple ID,NL,EUR,98.05687199,8/30/2020,6/30/2020,,,,
ORD00024813,PROD2210,USER0000024,Direct,Desktop,Fashion - Sunglasses,North America,Google OAuth,US,USD,66.59,8/31/2019,5/10/2019,9/7/2019,9/10/2019,,7
ORD00027144,PROD2071,USER0000002,Email Marketing,Desktop,Beauty - Serum,North America,Facebook OAuth,US,USD,29.29,9/27/2019,8/27/2019,9/29/2019,10/1/2019,,2
ORD00094701,PROD9960,USER0000002,Email Marketing,Mobile Web,Beauty - Face Moisturizer,North America,Email,CA,CAD,48.06797155,10/19/2025,9/24/2025,,,,
ORD00001350,PROD2215,USER0000877,Organic Search,Desktop,Books - Cookbook,North America,Email,US,USD,35,1/12/2019,1/1/2019,1/16/2019,1/18/2019,,4
ORD00082401,PROD4447,USER0000024,Paid Search,Mobile App,Fashion - Backpack,North America,Email,US,USD,82.27,1/13/2023,10/11/2022,1/14/2023,1/19/2023,,1
ORD00047327,PROD6983,USER0000200,Paid Search,Desktop,Fashion - Hoodie,Europe,Email,GB,GBP,48.81422138,6/30/2020,2/15/2020,7/1/2020,7/7/2020,,1
ORD00026250,PROD7020,USER0000004,Paid Search,Desktop,Fashion - Jeans,Europe,Google OAuth,ES,EUR,59.85781988,9/16/2019,9/10/2019,,,,
ORD00060450,PROD8420,USER0000031,Paid Search,Desktop,Beauty - Eye Shadow Palette,North America,Facebook OAuth,US,USD,46.54,3/1/2021,2/9/2021,3/2/2021,3/7/2021,,1
ORD00019661,PROD1548,USER0000007,Organic Search,Desktop,Electronics - Phone Case,North America,Facebook OAuth,US,USD,112.76,7/5/2019,4/1/2019,7/7/2019,7/10/2019,,2
ORD00063822,PROD2602,USER0000317,Email Marketing,Mobile Web,Electronics - USB Cable,Asia Pacific,Unknown,AU,AUD,197.0809105,5/15/2021,5/15/2021,,,,
ORD00054626,PROD4034,USER0000002,Direct,Mobile App,Fashion - Jeans,South America,Unknown,MX,MXN,54.00481729,11/4/2020,11/4/2020,11/7/2020,11/15/2020,,3
ORD00058838,PROD1345,USER0000004,Organic Search,Mobile Web,Electronics - Wireless Earbuds,Europe,Email,NL,EUR,126.7061611,1/25/2021,1/8/2021,1/27/2021,2/3/2021,,2
ORD00075195,PROD5902,USER0000013,Paid Search,Mobile Web,Toys - LEGO Set,North America,Apple ID,US,USD,64.08,3/31/2022,3/17/2022,4/2/2022,4/8/2022,,2
ORD00063980,PROD2499,USER0000002,Facebook,Mobile App,Electronics - Keyboard,North America,Email,US,USD,144.26,5/19/2021,3/16/2021,5/25/2021,5/28/2021,,6
ORD00038331,PROD9234,USER0000015,Direct,Desktop,Food - Snack Mix,Asia Pacific,Email,JP,JPY,24.90366959,2/16/2020,1/1/2020,2/20/2020,2/26/2020,,4
ORD00093416,PROD4658,USER0000135,Organic Search,Mobile Web,Electronics - Portable Charger,North America,Facebook OAuth,US,USD,132.05,4/18/2025,3/7/2025,,,,
ORD00001431,PROD9843,USER0000004,Direct,Mobile Web,Home - Rug,North America,Phone,CA,CAD,74.67872902,1/13/2019,1/1/2019,1/15/2019,1/18/2019,,2
ORD00005310,PROD3727,USER0000002,Organic Search,Desktop,Sports - Yoga Mat,Europe,Email,GB,GBP,172.1379279,2/16/2019,1/14/2019,2/17/2019,2/21/2019,,1
ORD00017954,PROD2295,USER0000002,Email Marketing,Mobile Web,Electronics - Mouse,Europe,Unknown,NL,EUR,103.7796208,6/18/2019,6/18/2019,6/24/2019,6/29/2019,7/2/2019,6
ORD00091539,PROD2479,USER0000002,Organic Search,Mobile Web,Beauty - Body Lotion,Europe,Email,GB,GBP,41.3158146,9/19/2024,6/5/2024,9/20/2024,9/24/2024,,1
ORD00025255,PROD8128,USER0000004,Paid Search,Mobile App,Fashion - Dress,North America,Unknown,US,USD,55.67,9/5/2019,9/5/2019,9/6/2019,9/9/2019,,1
ORD00039774,PROD2598,USER0000031,Email Marketing,Mobile Web,Home - Storage Basket,South America,Unknown,BR,BRL,60.88688099,8/3/2020,3/8/2020,3/9/2020,3/19/2020,,1
ORD00005905,PROD6759,USER0000127,Organic Search,Desktop,Food - Tea Set,Africa,Facebook OAuth,ZA,ZAR,30.36664623,2/22/2019,2/7/2019,,,,
ORD00050286,PROD4405,USER0000002,Direct,Desktop,Fashion - Sneakers,Asia Pacific,Email,AU,AUD,83.39237549,8/19/2020,7/6/2020,8/21/2020,8/28/2020,,2
ORD00064239,PROD4753,USER0000003,Facebook,Mobile Web,Toys - Action Figure,Asia Pacific,Facebook OAuth,IN,INR,53.92704919,5/25/2021,4/18/2021,5/28/2021,6/4/2021,,3
ORD00056457,PROD5564,USER0000003,Paid Search,Mobile Web,Fashion - Dress,Europe,Google OAuth,FR,EUR,93.12796204,12/8/2020,10/7/2020,12/10/2020,12/15/2020,,2
ORD00059143,PROD2871,USER0000084,Display Ads,Mobile App,Home - Rug,North America,Google OAuth,US,USD,72.89,2/1/2021,10/19/2020,,,,
ORD00017556,PROD5794,USER0000003,Facebook,Desktop,Electronics - Wireless Earbuds,North America,Google OAuth,US,USD,66.9,6/13/2019,5/21/2019,6/14/2019,6/17/2019,,1
ORD00051666,PROD2296,USER0000003,Facebook,Desktop,Fashion - T-Shirt,North America,Email,CA,CAD,53.09689156,9/11/2020,5/18/2020,9/13/2020,9/16/2020,,2
ORD00067576,PROD6956,USER0000002,Paid Search,Desktop,Electronics - HDMI Cable,North America,Email,US,USD,80.54,8/15/2021,8/7/2021,8/16/2021,8/18/2021,,1
ORD00039060,PROD7118,USER0000002,Paid Search,Mobile App,Electronics - Keyboard,North America,Google OAuth,US,USD,97.28,2/26/2020,2/15/2020,2/27/2020,3/1/2020,,1
ORD00006176,PROD1890,USER0000008,Organic Search,Mobile Web,Fashion - Sneakers,North America,Google OAuth,US,USD,46.22,2/24/2019,1/27/2019,2/26/2019,3/1/2019,3/11/2019,2
ORD00072295,PROD6096,USER0000002,Organic Search,Mobile Web,Food - Protein Bar Box,North America,Facebook OAuth,US,USD,32.14,12/26/2021,11/24/2021,12/29/2021,1/1/2022,,3
ORD00049780,PROD3883,USER0000002,Paid Search,Mobile Web,Beauty - Body Lotion,Middle East,Email,AE,AED,36.62036952,8/10/2020,7/2/2020,,,,
ORD00051287,PROD1652,USER0000002,Paid Search,Mobile App,Electronics - Bluetooth Speaker,Asia Pacific,Email,JP,JPY,98.50735598,9/4/2020,8/10/2020,,,,
ORD00001571,PROD3986,USER0000002,Direct,Desktop,Sports - Gym Bag,North America,Email,CA,CAD,126.4340865,1/14/2019,1/3/2019,,,,
ORD00071722,PROD7621,USER0000002,Organic Search,Mobile Web,Fashion - Hoodie,North America,Email,US,USD,46.66,12/9/2021,9/18/2021,12/10/2021,12/14/2021,,1
ORD00061703,PROD6619,USER0000003,Organic Search,Desktop,Home - Bed Sheets,North America,Apple ID,US,USD,126.89,3/27/2021,3/5/2021,3/29/2021,4/2/2021,,2
ORD00013371,PROD2486,USER0000006,Direct,Mobile Web,Home - Bed Sheets,Europe,Google OAuth,DE,EUR,119.549763,5/2/2019,1/1/2019,5/4/2019,5/8/2019,,2
ORD00019937,PROD1287,USER0000025,Email Marketing,Mobile Web,Sports - Protein Powder,North America,Apple ID,US,USD,90,7/9/2019,6/15/2019,7/11/2019,7/14/2019,,2
ORD00065934,PROD5438,USER0000002,Organic Search,Mobile Web,Toys - Doll,North America,Facebook OAuth,US,USD,37.98,7/5/2021,7/4/2021,,,6/15/2025,
ORD00034072,PROD7767,USER0000006,Organic Search,Desktop,Fashion - T-Shirt,Asia Pacific,Google OAuth,SG,SGD,51.04610702,12/20/2019,10/14/2019,,,,
ORD00001575,PROD1605,USER0000002,Display Ads,Desktop,Sports - Yoga Mat,North America,Email,US,USD,103.45,1/14/2019,1/1/2019,1/19/2019,1/26/2019,,5
ORD00044531,PROD6069,USER0000002,Email Marketing,Desktop,Food - Tea Set,North America,Unknown,US,USD,60,5/17/2020,5/17/2020,,,,
ORD00009376,PROD5985,USER0000006,Affiliate,Desktop,Fashion - Belt,Europe,Facebook OAuth,DE,EUR,59.65639808,3/25/2019,3/24/2019,4/3/2019,4/9/2019,,9
ORD00020630,PROD8227,USER0000002,Direct,Mobile Web,Fashion - Scarf,North America,Email,US,USD,33.37,7/16/2019,6/9/2019,7/18/2019,7/20/2019,,2
ORD00067806,PROD3793,USER0000002,Paid Search,Desktop,Beauty - Eye Shadow Palette,Europe,Google OAuth,GB,GBP,68.69245709,8/21/2021,6/27/2021,8/23/2021,8/31/2021,,2
ORD00045329,PROD1971,USER0000002,Organic Search,Desktop,Electronics - Mouse,Europe,Apple ID,NL,EUR,269.620853,5/29/2020,4/4/2020,6/6/2020,6/10/2020,,8
ORD00016169,PROD7046,USER0000002,Organic Search,Desktop,Home - Picture Frame,Asia Pacific,Facebook OAuth,JP,JPY,131.3372735,5/30/2019,5/25/2019,,,,
ORD00010948,PROD6400,USER0000004,Facebook,Desktop,Electronics - Bluetooth Speaker,North America,Google OAuth,US,USD,250,4/9/2019,1/1/2019,4/14/2019,4/17/2019,,5
ORD00071015,PROD2517,USER0000012,Organic Search,Mobile Web,Beauty - Nail Polish,Asia Pacific,Apple ID,AU,AUD,35.58877673,11/17/2021,11/15/2021,,,,
ORD00097163,PROD5842,USER0000013,Organic Search,Desktop,  Electronics - Keyboard  ,South America,Email,BR,BRL,102.3435712,12/31/2025,11/20/2025,1/8/2026,1/16/2026,,8
ORD00064219,PROD4552,USER0000040,Organic Search,Mobile Web,Sports - Dumbbells,Asia Pacific,Google OAuth,JP,JPY,85.12090825,5/25/2021,3/17/2021,,,,
ORD00085042,PROD8349,USER0000144,Instagram,Mobile Web,Electronics - Screen Protector,Europe,Google OAuth,EU,EUR,203.1161136,6/1/2023,5/8/2023,6/3/2023,6/6/2023,,2
ORD00092571,PROD5215,USER0000004,Email Marketing,Desktop,Sports - Water Bottle,Europe,Apple ID,FR,EUR,106.599526,9/1/2025,12/13/2024,1/12/2025,1/17/2025,,3
ORD00028222,PROD7574,USER0000006,Organic Search,Mobile App,Electronics - Mouse,Europe,Google OAuth,NL,EUR,53.40047391,10/10/2019,8/7/2019,,,,
ORD00000574,PROD1508,USER0000003,Organic Search,Mobile Web,Home - Picture Frame,Europe,Google OAuth,GB,GBP,55.34990324,1/5/2019,1/1/2019,1/7/2019,1/15/2019,1/18/2019,2
ORD00087987,PROD6038,USER0000002,Organic Search,Mobile Web,Electronics - Screen Protector,Africa,Phone,NG,NGN,38.94512088,11/28/2023,10/11/2023,,,,
ORD00068572,PROD7808,USER0000007,Email Marketing,Mobile Web,Fashion - Backpack,Europe,Google OAuth,DE,EUR,74.27725115,9/10/2021,7/17/2021,9/11/2021,9/16/2021,,1
ORD00055446,PROD1585,USER0000004,Paid Search,Desktop,Electronics - Keyboard,North America,Email,US,USD,244.65,11/19/2020,11/18/2020,11/23/2020,11/26/2020,,4
ORD00029418,PROD9641,USER0000004,Facebook,Mobile Web,Sports - Water Bottle,North America,Facebook OAuth,CA,CAD,74.71538296,10/24/2019,10/11/2019,10/25/2019,10/27/2019,,1
ORD00047261,PROD4182,USER0000002,Email Marketing,Desktop,Home - Throw Pillow,Europe,Email,ES,EUR,62.53554499,6/29/2020,5/28/2020,7/1/2020,7/4/2020,,2
ORD00005549,PROD9558,USER0000278,Facebook,Desktop,Beauty - Nail Polish,Middle East,Email,AE,AED,64.29193751,2/18/2019,1/1/2019,2/20/2019,2/28/2019,,2
ORD00021256,PROD1830,USER0000002,Facebook,Desktop,Fashion - Sunglasses,Europe,Email,GB,GBP,71.41791778,7/23/2019,7/5/2019,7/25/2019,7/29/2019,,2
ORD00043183,PROD8807,USER0000002,Organic Search,Mobile Web,Fashion - Hat,Europe,Facebook OAuth,FR,EUR,62.89099523,4/26/2020,11/23/2019,4/29/2020,5/6/2020,,3
ORD00033042,PROD5840,USER0000003,Direct,Desktop,Toys - Doll,North America,Phone,US,USD,100,12/7/2019,11/9/2019,,,,
ORD00098549,PROD7183,USER0000016,Direct,Desktop,Electronics - Webcam,Middle East,Google OAuth,AE,AED,145.9831121,12/31/2025,7/7/2025,1/1/2026,1/7/2026,,1
ORD00034951,PROD9291,USER0000010,Organic Search,Mobile Web,Electronics - Phone Case,Asia Pacific,Google OAuth,SG,SGD,163.4647442,12/31/2019,12/26/2019,1/2/2020,1/8/2020,,2
ORD00029458,PROD7559,USER0000002,Direct,Desktop,Sports - Gym Bag,Europe,Facebook OAuth,ES,EUR,66.03080566,10/24/2019,7/28/2019,,,,
ORD00021749,PROD1051,USER0000002,Direct,Desktop,  Beauty - Lipstick  ,North America,Facebook OAuth,US,USD,46.45,7/28/2019,7/18/2019,8/6/2019,9/8/2019,,9
ORD00060709,PROD6453,USER0000002,Facebook,Mobile Web,Electronics - Screen Protector,Europe,Facebook OAuth,GB,GBP,267.8002423,3/7/2021,3/3/2021,3/9/2021,3/15/2021,,2
ORD00029396,PROD3437,USER0000003,Facebook,Desktop,Home - Lamp,North America,Unknown,US,USD,112,10/24/2019,10/24/2019,10/25/2019,10/27/2019,10/28/2019,1
ORD00082061,PROD3839,USER0000002,Paid Search,Mobile Web,Books - Cookbook,North America,Apple ID,CA,CAD,13.66458731,12/29/2022,12/23/2022,1/2/2023,1/8/2023,,4
ORD00060842,PROD4176,USER0000009,Facebook,Desktop,Toys - Board Game,North America,Google OAuth,US,USD,61,3/10/2021,2/4/2021,3/15/2021,3/18/2021,,5
ORD00052061,PROD8551,USER0000006,Direct,Desktop,Food - Coffee Beans,North America,Email,US,USD,25.94,9/18/2020,1/4/2020,9/20/2020,9/23/2020,,2
ORD00066522,PROD7367,USER0000005,Email Marketing,Desktop,Fashion - T-Shirt,North America,Email,US,USD,120,7/18/2021,7/18/2020,7/19/2021,7/23/2021,,1
ORD00056188,PROD1057,USER0000004,Paid Search,Mobile Web,Home - Towel Set,North America,Email,US,USD,141.6,12/3/2020,3/6/2020,,,,
ORD00073962,PROD7695,USER0000003,Email Marketing,Mobile App,Fashion - Sunglasses,North America,Facebook OAuth,US,USD,93.28,2/16/2022,2/14/2022,2/18/2022,2/21/2022,,2
ORD00002545,PROD9199,USER0000002,Organic Search,Mobile Web,Beauty - Perfume,North America,Apple ID,US,USD,20.75,1/23/2019,1/1/2019,1/26/2019,1/30/2019,,3
ORD00038608,PROD2263,USER0000043,Direct,Mobile Web,Electronics - Mouse,Asia Pacific,Email,IN,INR,152.3388743,2/20/2020,11/23/2019,2/21/2020,2/27/2020,,1
ORD00008992,PROD5509,USER0000009,Direct,Desktop,  Fashion - Backpack  ,North America,Facebook OAuth,CA,CAD,32.92989602,3/22/2019,1/24/2019,,,,
ORD00069497,PROD1298,USER0000003,Instagram,Desktop,Fashion - Socks,North America,Email,US,USD,51.17,10/6/2021,8/17/2021,10/7/2021,10/10/2021,,1
ORD00066937,PROD8953,USER0000003,Facebook,Mobile App,Home - Storage Basket,Asia Pacific,Unknown,IN,INR,46.91925519,7/29/2021,7/29/2021,7/31/2021,8/9/2021,,2
ORD00090920,PROD8383,USER0000043,Instagram,Desktop,Electronics - Smart Watch,Europe,Google OAuth,GB,GBP,118.0219397,7/21/2024,7/8/2024,7/23/2024,7/28/2024,,2
ORD00036546,PROD1835,USER0000003,Email Marketing,Desktop,Electronics - Mouse,North America,Facebook OAuth,CA,CAD,161.4092722,1/21/2020,11/19/2019,,,,
ORD00033881,PROD9137,USER0000003,Direct,Mobile Web,Fashion - Jacket,Asia Pacific,Google OAuth,JP,JPY,48.93277357,12/17/2019,11/10/2019,12/18/2019,12/26/2019,,1
ORD00015088,PROD6812,USER0000007,Email Marketing,Mobile Web,Electronics - Portable Charger,Asia Pacific,Facebook OAuth,SG,SGD,137.3636011,5/20/2019,5/10/2019,5/21/2019,5/27/2019,,1
ORD00001957,PROD5450,USER0000002,Direct,Desktop,Home - Rug,Europe,Google OAuth,DE,EUR,56.59952604,1/18/2019,1/1/2019,1/23/2019,1/28/2019,,5
ORD00004073,PROD4729,USER0000003,Paid Search,Desktop,Beauty - Body Lotion,Asia Pacific,Facebook OAuth,NZ,NZD,48.58179693,5/2/2019,1/21/2019,,,2/19/2019,
ORD00007879,PROD9825,USER0000004,Paid Search,Desktop,Home - Rug,Asia Pacific,Email,AU,AUD,95.72764531,3/11/2019,1/17/2019,3/12/2019,3/16/2019,,1
ORD00099234,PROD7947,USER0000025,Organic Search,Desktop,Fashion - Backpack,South America,Email,BR,BRL,57.31982881,12/31/2025,10/19/2025,1/2/2026,1/10/2026,,2
ORD00021397,PROD8130,USER0000003,Affiliate,Mobile Web,Sports - Fitness Tracker,Asia Pacific,Email,AU,AUD,65.56610389,7/24/2019,7/14/2019,7/26/2019,8/1/2019,,2
ORD00092799,PROD6452,USER0000002,Facebook,Desktop,Food - Hot Sauce,North America,Email,US,USD,40.92,6/2/2025,12/27/2024,2/8/2025,2/13/2025,,2
ORD00064230,PROD6627,USER0000020,Direct,Mobile Web,Sports - Fitness Tracker,North America,Phone,US,USD,77.85,5/25/2021,5/16/2021,5/27/2021,5/29/2021,,2
ORD00052610,PROD4860,USER0000002,Paid Search,Desktop,Sports - Gym Bag,North America,Email,CA,CAD,141.6381391,9/28/2020,7/9/2020,9/30/2020,10/3/2020,,2
ORD00036180,PROD3445,USER0000046,Social Media - TikTok,Mobile Web,Food - Tea Set,North America,Facebook OAuth,US,USD,58.25,1/16/2020,1/15/2020,,,,
ORD00053664,PROD3839,USER0000003,Direct,Desktop,Beauty - Nail Polish,Europe,Google OAuth,NL,EUR,33.6255924,10/17/2020,7/5/2020,10/18/2020,10/26/2020,,1
ORD00013023,PROD4634,USER0000010,Direct,Desktop,Toys - Puzzle,Europe,Email,FR,EUR,109.0047393,4/29/2019,4/17/2019,5/1/2019,6/5/2019,,2
ORD00001939,PROD2996,USER0000002,Organic Search,Desktop,Fashion - Jacket,Europe,Apple ID,DE,EUR,74.96445494,1/17/2019,1/1/2019,1/19/2019,1/25/2019,,2
ORD00054449,PROD2358,USER0000006,Organic Search,Desktop,Electronics - Keyboard,North America,Email,CA,CAD,167.889688,10/31/2020,10/30/2020,,,,
ORD00065335,PROD8557,USER0000006,Direct,Mobile Web,Books - Self-Help Book,North America,Email,US,USD,22.23,6/20/2021,5/5/2021,6/22/2021,6/27/2021,,2
ORD00039595,PROD5231,USER0000002,Social Media - TikTok,Desktop,Fashion - Dress,North America,Google OAuth,CA,CAD,64.30566516,3/5/2020,12/18/2019,3/9/2020,3/13/2020,,4
ORD00094523,PROD7024,USER0002039,Paid Search,Mobile Web,Electronics - USB Cable,North America,Email,US,USD,80.79,9/22/2025,9/18/2025,9/23/2025,9/28/2025,,1
ORD00000857,PROD5781,USER0000015,YouTube,Mobile App,Sports - Yoga Mat,North America,Email,CA,CAD,127.1451729,1/8/2019,1/7/2019,,,,
ORD00065146,PROD6829,USER0000003,Paid Search,Desktop,Sports - Resistance Bands,Europe,Facebook OAuth,GB,GBP,92.96397272,6/16/2021,4/18/2021,6/17/2021,6/20/2021,,1
ORD00002998,PROD7718,USER0000011,Organic Search,Desktop,Beauty - Nail Polish,Europe,Email,FR,EUR,44.45497628,1/27/2019,1/10/2019,1/28/2019,2/2/2019,,1
ORD00002663,PROD1505,USER0000002,Paid Search,Mobile Web,Sports - Protein Powder,North America,Email,US,USD,86.62,1/24/2019,1/1/2019,1/27/2019,1/29/2019,,3
ORD00062478,PROD1419,USER0000003,Affiliate,Mobile Web,Electronics - Screen Protector,South America,Facebook OAuth,BR,BRL,63.9044195,4/14/2021,2/7/2021,4/15/2021,4/21/2021,,1
ORD00036931,PROD3002,USER0000002,YouTube,Desktop,Fashion - Sneakers,North America,Email,US,USD,39.7,1/26/2020,10/28/2019,1/29/2020,2/2/2020,,3
